code_postal,geocode_text,lon,lat
G2E2L2,"G2E2L2, Canada",-71.33550350000002,46.8035477
G6Z1T1,"G6Z1T1, Canada",-71.20405939999999,46.712778
G1G1B5,"G1G1B5, Canada",-71.29567449999999,46.8856756
G1M1V3,"G1M1V3, Canada",-71.2556723,46.8129237
G1C0G8,"G1C0G8, Canada",-71.209943,46.8777462
G1H2N5,"G1H2N5, Canada",-71.2361564,46.8534163
G1X4C9,"G1X4C9, Canada",-71.3392485,46.7621605
G1C6J3,"G1C6J3, Canada",-71.1902604,46.8866402
G3E1S5,"G3E1S5, Canada",-71.321632,46.8669286
G1L4B7,"G1L4B7, Canada",-71.2405405,46.826183
G7A3A6,"G7A3A6, Canada",-71.3188825,46.7326094
G1J4A2,"G1J4A2, Canada",-71.2252539,46.8383219
G7A5K7,"G7A5K7, Canada",-71.30769819999999,46.7306433
G3M0C2,"G3M0C2, Canada",-71.72455839999999,46.674271
G3A2N4,"G3A2N4, Canada",-71.3978973,46.7384087
G1X4C7,"G1X4C7, Canada",-71.3397188,46.7587985
G1X3T8,"G1X3T8, Canada",-71.32363409999999,46.7615613
G3J1A5,"G3J1A5, Canada",-71.41988789999999,46.8610428
G0A3G0,"G0A3G0, Canada",-71.8268075,46.76078649999999
G2K1A9,"G2K1A9, Canada",-71.3151974,46.84820999999999
G0S3G0,"G0S3G0, Canada",-71.08001089999999,46.5243765
G1W1J8,"G1W1J8, Canada",-71.27584379999999,46.7682738
G3K2B5,"G3K2B5, Canada",-71.4213586,46.85047900000001
G1J3A4,"G1J3A4, Canada",-71.22638979999999,46.8253507
G6Y0N7,"G6Y0N7, Canada",-71.1098368,46.8179722
G1P3K1,"G1P3K1, Canada",-71.3020511,46.8108997
